nombre,foto,pelis
Bryce Dallas Howard,https://media.themoviedb.org/t/p/w235_and_h235_face/mDKsCY9YJKyqoSGzlAfJdHBU8a3.jpg,"Jurassic World, Jurassic World: El reino caído y El bosque"
Annie Potts,https://media.themoviedb.org/t/p/w235_and_h235_face/wci5yNwwQvvRtHybDG36wZqhC1t.jpg,"Toy Story 4, Toy Story (Juguetes) y Toy Story 2: los juguetes vuelven a la carga"
Charlize Theron,https://media.themoviedb.org/t/p/w235_and_h235_face/1WKfLshTtawW26lqOcKZhS4lZVA.jpg,"Mad Max: Furia en la carretera, Atómica y Hancock"
Margot Robbie,https://media.themoviedb.org/t/p/w235_and_h235_face/euDPyqLnuwaWMHajcU3oZ9uZezR.jpg,"Aves de presa (y la fantabulosa emancipación de Harley Quinn), El escuadrón suicida y Barbie"
Ryan Gosling,https://media.themoviedb.org/t/p/w235_and_h235_face/lyUyVARQKhGxaxy0FbPJCQRpiaW.jpg,"La Ciudad De Las Estrellas (La La Land), Blade Runner 2049 y Drive"
John Krasinski,https://media.themoviedb.org/t/p/w235_and_h235_face/sVsUxtGLGiYhaH2oddaRocJiOiW.jpg,"Un lugar tranquilo, 13 Horas: Los soldados secretos de Bengasi y Un lugar tranquilo 2"
Whoopi Goldberg,https://media.themoviedb.org/t/p/w235_and_h235_face/wZKI7qcEIVgiHxeFtk3NuKt8URQ.jpg,"Sister Act (Una Monja De Cuidado), Ghost (Más allá del amor) y Sister Act 2 (De Vuelta Al Convento)"
Quentin Tarantino,https://media.themoviedb.org/t/p/w235_and_h235_face/1gjcpAa99FAOWGnrUvHEXXsRs7o.jpg,"Pulp Fiction, Django desencadenado y Malditos bastardos"
Kristen Wiig,https://media.themoviedb.org/t/p/w235_and_h235_face/N517EQh7j4mNl3BStMmjMN6hId.jpg,"Marte (The Martian), Cazafantasmas y Gru 2. Mi villano favorito"
Nick Robinson,https://media.themoviedb.org/t/p/w235_and_h235_face/mzYszYVPvTdirjkUueziWUHvye7.jpg,"Con amor, Simon, Jurassic World y La quinta ola"
Sylvester Stallone,https://media.themoviedb.org/t/p/w235_and_h235_face/pOpbPofjwpynRkWPZZZkyGds6rx.jpg,"Los mercenarios, Rocky y Los mercenarios 2"
Dermot Mulroney,https://media.themoviedb.org/t/p/w235_and_h235_face/5gJszOF45KMPB5tmAbKdK0qgQBx.jpg,"Infierno blanco, La boda de mi mejor amigo y Zodiac"
Russell Crowe,https://media.themoviedb.org/t/p/w235_and_h235_face/fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg,"Gladiator, Una mente maravillosa y Noé"
Anja Savcic,https://media.themoviedb.org/t/p/w235_and_h235_face/nWl0Hgw8y35bXXl9VaorAmYjhBY.jpg,"Extraterrestrial, La noche de su vida y Repeaters"
Willem Dafoe,https://media.themoviedb.org/t/p/w235_and_h235_face/ui8e4sgZAwMPi3hzEO53jyBJF9B.jpg,"Spider-Man, American Psycho y Buscando a Nemo"
Zac Efron,https://media.themoviedb.org/t/p/w235_and_h235_face/oQJWACvdvh2a5eyPokVdQ6qdRMc.jpg,"17 otra vez, El gran showman y High School Musical"
Joel Kinnaman,https://media.themoviedb.org/t/p/w235_and_h235_face/c4TTWy1WntzDxpgIe8kbODjWOfD.jpg,"RoboCop, Escuadrón suicida y El escuadrón suicida"
Jack Black,https://media.themoviedb.org/t/p/w235_and_h235_face/rtCx0fiYxJVhzXXdwZE2XRTfIKE.jpg,"Kung Fu Panda, Kung Fu Panda 2 y Kung Fu Panda 3"
Kelly Reilly,https://media.themoviedb.org/t/p/w235_and_h235_face/gof8bWW9E7MH30GpvA97PwGiIuu.jpg,"El vuelo (Flight), Sherlock Holmes y Eden Lake"
Zendaya,https://media.themoviedb.org/t/p/w235_and_h235_face/3WdOloHpjtjL96uVOhFRRCcYSwq.jpg,"Spider-Man: No Way Home, Euphoria y Spider-Man. Homecoming"
Aubrey Plaza,https://media.themoviedb.org/t/p/w235_and_h235_face/6qeCvOF1K88nKqZfzaWYESo0CwW.jpg,"Muñeco diabólico, Dirty Grandpa y Seguridad no garantizada"
Danny Trejo,https://media.themoviedb.org/t/p/w235_and_h235_face/7JrUkRGBscZ1Hy5JinaaXjjzSCF.jpg,"Machete, Machete Kills y Abierto hasta el amanecer"
Kate Beckinsale,https://media.themoviedb.org/t/p/w235_and_h235_face/j8AX8zHixgntJ7FgIQWwI7NJ7p4.jpg,"Underworld, Underworld: El despertar y Underworld: Evolution"
Donald Sutherland,https://media.themoviedb.org/t/p/w235_and_h235_face/i3acDyoJCtVFbsHLAPVaw8rLANG.jpg,"Los Juegos del Hambre: En llamas, Los Juegos del Hambre y Orgullo y prejuicio"
Joely Richardson,https://media.themoviedb.org/t/p/w235_and_h235_face/6OWUwieNiWcZNnu4h6gd8vyhxBV.jpg,"El patriota, 101 Dálmatas (¡Más Vivos Que Nunca!) y Millennium: Los hombres que no amaban a las mujeres"
Natasha Culzac,https://media.themoviedb.org/t/p/w235_and_h235_face/ytMC7Kxx81MO3tIXv62ogsd4ttc.jpg,"Halo, Men in Black: International y The Witcher"
Michael Keaton,https://media.themoviedb.org/t/p/w235_and_h235_face/baeHNv3qrVsnApuKbZXiJOhqMnw.jpg,"Birdman o (la inesperada virtud de la ignorancia), Spider-Man. Homecoming y Batman"
Katheryn Winnick,https://media.themoviedb.org/t/p/w235_and_h235_face/vQSqH3ybDWZHZIqX4NZKhOCXAhQ.jpg,"Vikingos, Polar y La Torre Oscura"
Woody Harrelson,https://media.themoviedb.org/t/p/w235_and_h235_face/igxYDQBbTEdAqaJxaW6ffqswmUU.jpg,"Bienvenidos a Zombieland, Zombieland: Mata y remata y Los Juegos del Hambre"
Richard Gere,https://media.themoviedb.org/t/p/w235_and_h235_face/i7wcBNmFldh2E4QInCvmv7CPSIR.jpg,"Pretty Woman, Siempre a tu lado y Las dos caras de la verdad"
Kevin Bacon,https://media.themoviedb.org/t/p/w235_and_h235_face/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg,"X-Men: Primera Generación, Sleepers y Temblores"
Jarred Harper,https://media.themoviedb.org/t/p/w235_and_h235_face/iRImFVWY56bOlkeKXtUFo1sgUNh.jpg,"The Double Life of My Billionaire Husband, The Institute y American Housewife"
Alan Ritchson,https://media.themoviedb.org/t/p/w235_and_h235_face/wdmLUSPEC7dXuqnjTM4NgbjvTKk.jpg,"Reacher, Ninja Turtles y Los Juegos del Hambre: En llamas"
Gary Oldman,https://media.themoviedb.org/t/p/w235_and_h235_face/2v9FVVBUrrkW2m3QOcYkuhq9A6o.jpg,"El caballero oscuro, El caballero oscuro: La leyenda renace y El instante más oscuro"
Alicia Witt,https://media.themoviedb.org/t/p/w235_and_h235_face/vQ2McAjHjY3A7oDrPMx6aLSsvkW.jpg,"Leyenda urbana, 88 minutos y Amor con preaviso"
Tom Cruise,https://media.themoviedb.org/t/p/w235_and_h235_face/eOh4ubpOm2Igdg0QH2ghj0mFtC.jpg,"Al filo del mañana, Oblivion y Misión imposible: Protocolo fantasma"
Travis Fimmel,https://media.themoviedb.org/t/p/w235_and_h235_face/3feVQYAZXNHduKdtw3oMMAnUbQg.jpg,"Vikingos, Warcraft: El origen y Danger close: la batalla de Long Tan"
Kevin Hart,https://media.themoviedb.org/t/p/w235_and_h235_face/7OwsFfoxNGIfWwSmdORyB7v8XNj.jpg,"Jumanji: Bienvenidos a la jungla, Jumanji: Siguiente nivel y Un espía y medio"
Denis Villeneuve,https://media.themoviedb.org/t/p/w235_and_h235_face/433lXlkdMGXzrpwnKM4Ul1sln15.jpg,"La llegada, Blade Runner 2049 y Prisioneros"
Adam Sandler,https://media.themoviedb.org/t/p/w235_and_h235_face/xh4MJHsnqXLrPNnmwO50jR2Ku1N.jpg,"Hotel Transilvania, Pixels y 50 primeras citas"
Jeffrey Dean Morgan,https://media.themoviedb.org/t/p/w235_and_h235_face/m8bdrmh6ExDCGQ64E83mHg002YV.jpg,"Ruega por nosotros, The Walking Dead y Los perdedores"
Chloë Grace Moretz,https://media.themoviedb.org/t/p/w235_and_h235_face/j9d4i2xsLGUhwpuy5y0fkx1qAcz.jpg,"Kick-Ass: Listo para machacar, La quinta ola y Carrie"
Isabel May,https://media.themoviedb.org/t/p/w235_and_h235_face/9AT39NSHNQ44VebDrqupxplmyLK.jpg,"1883, Alexa & Katie y Luchar o morir"
