titulo,autor,tapa,portada,precio
FAIRY OAK 5 (EJEMPLAR FIRMADO + OBJETO REGALO),ELISABETTA GNONE,,https://imagessl6.casadellibro.com/a/l/s5/66/2000005366666.webp,
ANATOMIA DEL MAL,JORDI WILD,Tapa dura,https://imagessl7.casadellibro.com/a/l/s5/37/9788466671637.webp,"19,85 €"
CÓMO CONSEGUIR TUS METAS,ANGIE RIGUEIRO,Tapa blanda,https://imagessl7.casadellibro.com/a/l/s5/97/9788408284697.webp,"17,95 €"
LA SABIDURÍA DE LOS BÚHOS,JENNIFER ACKERMAN,Tapa dura,https://imagessl6.casadellibro.com/a/l/s5/56/9788434437456.webp,"20,80 €"
CÓMO HABLAR BALLENO,TOM MUSTILL,Tapa blanda,https://imagessl4.casadellibro.com/a/l/s5/64/9788430626564.webp,"20,80 €"
"SI TU TRABAJO TE TIENE FRITO, ¡REINVENTALO!",SETH GODIN,Tapa dura,https://imagessl6.casadellibro.com/a/l/s5/96/9788413443096.webp,"17,05 €"
JARDINOLOGÍA,STUART FARRIMOND,Tapa dura,https://imagessl1.casadellibro.com/a/l/s5/21/9780241664421.webp,"23,70 €"
CÓMO NO MATAR TUS PLANTAS (NUEVA EDICIÓN),DK,Tapa dura,https://imagessl1.casadellibro.com/a/l/s5/91/9780241664391.webp,"18,90 €"
EL LIBRO QUE LA INDUSTRIA ALIMENTARIA NO QUIERE QUE LEAS,ANDREA SORINAS,Tapa blanda,https://imagessl1.casadellibro.com/a/l/s5/41/9788448040741.webp,"18,00 €"
FLUJO DE IDEAS,VV.AA.,Otros,https://imagessl3.casadellibro.com/a/l/s5/23/9788416997923.webp,"17,10 €"
DA EL SALTO,EDU IGLESIAS,Tapa blanda,https://imagessl6.casadellibro.com/a/l/s5/16/9788418053016.webp,"18,90 €"
EN AGOSTO NOS VEMOS (EBOOK),GABRIEL GARCIA MARQUEZ,eBook,https://imagessl1.casadellibro.com/a/l/s5/71/9788439743071.webp,"8,54 €"
EL HIJO OLVIDADO (EBOOK),MIKEL SANTIAGO,eBook,https://imagessl5.casadellibro.com/a/l/s5/25/9788466677325.webp,"8,54 €"
BAJO TIERRA SECA (EBOOK),CESAR PEREZ GELLIDA y AA.VV,eBook,https://imagessl1.casadellibro.com/a/l/s5/81/9788423365081.webp,"10,44 €"
TRES ENIGMAS PARA LA ORGANIZACIÓN (EBOOK),EDUARDO MENDOZA,eBook,https://imagessl2.casadellibro.com/a/l/s5/22/9788432242922.webp,"10,44 €"
ANSIA (EBOOK),HENAR ALVAREZ,eBook,https://imagessl5.casadellibro.com/a/l/s5/15/9788408286615.webp,"9,49 €"
